#J D noD
-0.0523598333 0.32 0.51
-0.1047196667 0.22 0.39
-0.1570795 0.22 0.39
-0.2094393333 -0.012 0.26
-0.2617991667 -0.012 0.26
-0.314159 -0.1 0.14
-0.3665188333 -0.1 0.14
-0.4188786667 -0.2 0.00031
-0.4712385 -0.2 0.00031
-0.5235983333 -0.36 -0.15
-0.5759581667 -0.36 -0.15
-0.628318 -0.52 -0.28
-0.6806778333 -0.52 -0.28
-0.7330376667 -0.69 -0.43
-0.7853975 -0.69 -0.43
-0.7853975 -0.81 -0.59
-0.7853975 -0.81 -0.59
-0.7853975 -0.87 -0.71
-0.7853975 -0.87 -0.71
-0.7853975 -0.93 -0.82
-0.7853975 -0.93 -0.82
-0.7853975 -0.97 -0.88
-0.7853975 -0.97 -0.88
-0.7853975 -0.97 -0.91
-0.7853975 -0.97 -0.91
-0.7853975 -0.96 -0.94
-0.7330376667 -0.96 -0.94
-0.6806778333 -0.99 -0.96
-0.628318 -0.99 -0.96
-0.5759581667 -0.92 -0.93
-0.5235983333 -0.92 -0.93
-0.4712385 -0.79 -0.85
-0.4188786667 -0.79 -0.85
-0.3665188333 -0.62 -0.77
-0.314159 -0.62 -0.77
-0.2617991667 -0.52 -0.68
-0.2094393333 -0.52 -0.68
-0.1570795 -0.46 -0.56
-0.1047196667 -0.46 -0.56
-0.0523598333 -0.32 -0.43
0 -0.32 -0.43
0.0523598333 -0.15 -0.3
0.1047196667 -0.15 -0.3
0.1570795 -0.031 -0.12
0.2094393333 -0.031 -0.12
0.2617991667 0.12 0.019
0.314159 0.12 0.019
0.3665188333 0.26 0.13
0.4188786667 0.26 0.13
0.4712385 0.32 0.26
0.5235983333 0.32 0.26
0.5759581667 0.51 0.39
0.628318 0.51 0.39
0.6806778333 0.7 0.52
0.7330376667 0.7 0.52
0.7853975 0.75 0.64
